REF001	80.211.62.178
REF002	140.82.62.162
REF003	173.199.124.183
REF004	44.103.34.3
REF005	87.117.229.51
REF006	162.55.61.122
REF007	44.137.42.27
REF008	45.77.153.132
REF009	118.150.164.96
REF010	85.197.129.86
REF011	81.95.126.168
REF012	46.41.2.20
REF013	18.188.189.124
REF014	52.63.223.130
REF015	194.59.205.228
REF016	150.66.42.17
REF017	177.148.201.98
REF018	161.97.73.43
REF019	31.7.247.58
REF020	66.175.215.217
REF021	148.251.94.163
REF022	83.137.45.98
REF023	77.85.192.94
REF024	151.54.24.178
REF025	89.38.150.252
REF026	209.42.149.140
REF027	198.12.71.101
REF028	216.128.130.30
REF029	3.129.150.138
REF030	194.59.177.44
REF031	201.62.48.60
REF032	158.64.26.140
REF033	152.228.170.16
REF034	176.121.81.54
REF035	45.79.94.184
REF036	101.89.136.112
REF037	198.100.154.155
REF038	44.103.34.19
REF039	212.237.3.90
REF040	185.11.166.85
REF041	66.30.219.127
REF042	100.26.94.67
REF043	206.189.239.225
REF044	45.33.92.245
REF045	70.44.20.24
REF046	190.54.137.189
REF047	202.171.147.58
REF048	37.133.219.65
REF049	212.71.234.224
REF050	140.82.51.26
REF051	93.186.254.219
REF052	128.22.149.69
REF053	10.49.243.18
REF055	52.80.4.154
REF056	66.42.126.197
REF057	216.84.141.161
REF058	150.66.16.176
REF059	18.219.32.21
REF060	45.76.133.116
REF061	192.248.160.49
REF064	122.222.1.50
REF065	74.130.9.190
REF066	47.100.164.89
REF067	140.228.144.142
REF068	92.222.145.202
REF069	51.77.213.200
REF070	18.130.199.150
REF071	211.60.41.185
REF072	45.22.199.201
REF073	45.77.192.120
REF074	222.128.4.82
REF075	97.94.250.233
REF076	203.137.116.117
REF078	18.236.66.239
REF079	211.42.152.122
REF080	180.144.16.178
REF081	112.71.222.105
REF082	93.51.103.229
REF083	208.125.131.218
REF084	136.244.64.57
REF085	113.150.26.8
REF086	140.179.13.243
REF088	44.137.37.242
REF089	66.59.196.12
REF090	18.234.51.231
REF091	82.223.20.103
REF092	80.211.182.156
REF093	87.6.253.163
REF095	203.137.76.53
REF096	121.145.136.53
REF098	119.238.109.217
REF099	80.211.27.75
REF100	45.62.232.11
REF101	45.62.250.202
REF102	24.172.229.151
REF103	24.172.229.152
REF104	24.172.229.153
REF105	51.254.99.78
REF106	68.51.221.108
REF107	114.115.167.98
REF108	60.84.77.81
REF109	118.236.203.57
REF110	140.82.14.24
REF111	61.195.96.160
REF112	82.223.54.35
REF113	115.159.93.156
REF114	164.90.140.111
REF115	217.182.128.3
REF116	80.211.90.242
REF117	200.108.249.62
REF118	5.249.148.252
REF119	23.234.239.179
REF120	129.123.74.133
REF121	44.31.111.121
REF122	194.37.80.40
REF123	87.175.104.149
REF124	211.14.169.234
REF125	213.181.208.52
REF126	217.173.179.95
REF128	174.16.216.41
REF129	150.66.36.114
REF130	81.231.241.25
REF131	45.80.171.194
REF132	91.203.55.87
REF133	62.220.129.89
REF134	51.83.134.240
REF136	180.48.120.89
REF137	66.85.173.37
REF138	103.195.7.20
REF139	66.42.93.25
REF140	95.211.211.145
REF141	3.19.122.217
REF144	54.188.28.93
REF145	70.15.39.11
REF147	124.123.68.50
REF148	122.154.141.51
REF149	122.154.140.136
REF150	192.241.158.197
REF151	159.203.105.64
REF154	180.32.201.250
REF155	217.182.156.151
REF156	18.233.216.229
REF160	61.195.109.179
REF162	212.91.190.81
REF163	45.143.93.75
REF165	79.107.217.188
REF168	123.139.189.182
REF171	62.113.103.244
REF174	81.169.128.244
REF175	162.248.92.25
REF176	128.22.152.69
REF177	51.77.151.223
REF178	178.251.180.150
REF180	192.241.240.7
REF181	108.61.242.174
REF182	121.176.76.170
REF183	45.32.75.47
REF186	111.202.44.36
REF187	24.94.6.105
REF190	190.194.12.53
REF191	153.92.4.97
REF192	118.27.9.127
REF197	44.184.136.20
REF199	82.29.37.151
REF200	44.31.61.66
REF201	157.245.45.67
REF202	37.59.36.82
REF204	77.162.87.115
REF207	153.37.53.239
REF208	213.186.34.50
REF209	173.247.7.157
REF210	161.97.169.233
REF211	47.110.34.230
REF212	52.38.90.188
REF214	80.211.94.145
REF215	207.246.95.65
REF216	74.214.25.135
REF218	51.222.85.251
REF219	3.225.138.100
REF220	164.70.120.126
REF221	44.103.34.21
REF222	93.186.251.81
REF223	87.106.152.249
REF224	203.137.99.97
REF225	61.195.108.252
REF227	89.33.44.100
REF228	51.68.191.218
REF229	195.49.75.204
REF230	80.250.3.114
REF231	217.133.15.187
REF232	89.185.97.35
REF234	95.179.236.76
REF235	194.146.49.33
REF236	209.190.4.10
REF237	74.196.158.133
REF238	95.154.31.11
REF239	149.28.115.164
REF240	75.39.2.11
REF241	51.83.98.154
REF242	66.42.84.85
REF244	72.14.187.79
REF245	192.248.165.35
REF246	172.93.48.159
REF247	136.244.97.211
REF248	81.150.15.15
REF250	85.208.48.207
REF254	184.82.169.89
REF256	162.238.214.18
REF257	45.89.88.118
REF258	45.22.199.202
REF259	149.202.75.50
REF260	54.37.138.47
REF262	92.194.123.63
REF263	85.214.92.118
REF264	52.2.131.118
REF266	62.171.178.202
REF267	91.209.16.180
REF268	185.11.166.22
REF269	198.245.55.177
REF270	158.64.26.132
REF271	217.61.23.253
REF272	91.232.187.73
REF277	63.78.117.77
REF280	95.235.119.182
REF281	74.91.126.68
REF284	85.187.70.88
REF286	93.186.113.147
REF287	66.42.109.165
REF288	172.112.239.190
REF289	76.144.206.116
REF290	44.182.7.20
REF291	101.143.242.189
REF295	45.62.240.103
REF298	122.133.153.185
REF299	202.36.45.107
REF300	64.227.109.134
REF301	124.187.44.129
REF302	144.217.241.23
REF303	75.70.52.143
REF304	142.93.246.87
REF305	178.250.54.203
REF306	66.37.140.152
REF307	72.21.76.154
REF308	18.117.43.70
REF309	198.74.54.133
REF311	88.99.242.33
REF312	192.241.160.183
REF313	34.213.108.164
REF314	186.18.41.172
REF315	73.111.54.112
REF316	68.102.142.116
REF320	162.203.31.194
REF321	44.169.1.30
REF322	76.219.234.40
REF323	99.109.12.98
REF325	168.235.80.185
REF326	61.195.125.193
REF327	104.238.156.182
REF328	212.237.33.114
REF329	60.47.228.78
REF330	23.129.32.82
REF332	188.213.168.99
REF333	46.149.220.118
REF334	96.47.95.121
REF335	76.20.215.85
REF336	23.226.233.133
REF337	20.118.24.47
REF338	220.135.221.114
REF339	178.254.30.57
REF344	96.126.100.128
REF345	212.114.109.209
REF349	67.85.59.166
REF350	180.6.172.230
REF351	45.33.127.97
REF353	44.155.254.12
REF355	91.146.254.54
REF356	217.174.61.117
REF359	94.156.172.213
